"DateTime","MDB1-1","MDB2-1","MDB2-2","MDB2-3","MDB3-1","MDB3-2","MDB4-1","MDB4-2","MDB5-1","MDB6-1","MDB6-2","MDB7-1","MDB7-2","TotalPower"
2017-05-15 00:00:00,175,116,15,8,62,0,379,902,12,NA,NA,376,252,2297
2017-05-15 01:00:00,170,107,14,7,60,0,390,899,11,NA,NA,371,263,2292
2017-05-15 02:00:00,169,111,15,8,61,0,391,901,12,NA,NA,378,268,2314
2017-05-15 03:00:00,172,111,15,7,62,0,380,903,11,NA,NA,373,258,2292
2017-05-15 04:00:00,170,2,14,8,61,0,379,909,11,NA,NA,369,266,2189
2017-05-15 04:00:00,170,110,14,8,61,0,379,909,11,NA,NA,369,266,2297
2017-05-15 05:00:00,271,247,148,8,225,0,383,894,14,NA,NA,395,255,2840
2017-05-15 06:00:00,331,257,197,7,249,0,445,1015,12,NA,NA,418,264,3195
2017-05-15 07:00:00,598,544,535,117,305,0,474,1043,22,NA,24,446,266,4374
2017-05-15 08:00:00,1024,896,532,143,447,0,530,1112,54,633,869,492,268,7000
2017-05-15 09:00:00,967,837,567,145,504,0,564,1129,62,621,882,512,276,7066
2017-05-15 10:00:00,950,915,574,117,509,0,582,1177,68,650,903,526,263,7234
2017-05-15 11:00:00,1036,901,585,142,517,0,569,1154,68,628,862,521,258,7241
2017-05-15 12:00:00,1037,885,562,144,457,0,567,1168,57,630,868,530,271,7176
2017-05-15 13:00:00,1029,15,586,140,507,0,607,1209,75,667,862,538,966,7201
2017-05-15 13:00:00,1029,1016,586,140,507,0,607,1209,75,667,862,538,966,8202
2017-05-15 14:00:00,1036,990,568,146,527,0,602,1208,76,650,902,540,NA,7245
2017-05-15 15:00:00,1000,957,569,168,521,0,583,1179,70,685,900,536,NA,7168
2017-05-15 16:00:00,965,926,560,171,517,0,594,1173,62,655,874,519,130,7146
2017-05-15 17:00:00,877,819,554,132,459,0,555,1101,40,586,822,510,277,6732
2017-05-15 18:00:00,882,888,554,153,473,0,552,1129,41,629,818,508,292,6919
2017-05-15 19:00:00,916,902,564,167,458,0,559,1108,47,602,781,506,300,6910
2017-05-15 20:00:00,861,830,552,175,396,0,560,1148,59,611,800,486,307,6785
2017-05-15 21:00:00,826,824,553,165,381,0,574,1134,50,611,767,499,314,6698
2017-05-15 21:00:00,826,13,553,165,381,0,574,1134,50,611,767,499,314,5887
2017-05-15 22:00:00,890,800,553,167,374,0,555,1122,46,596,734,498,317,6652
2017-05-15 23:00:00,825,831,554,159,373,0,536,1089,43,582,712,495,319,6518
2017-05-16 00:00:00,790,765,531,161,355,0,542,1056,46,584,699,493,317,6339
2017-05-16 01:00:00,799,803,553,165,344,0,548,1100,37,574,705,492,321,6441
2017-05-16 02:00:00,789,802,552,162,348,0,552,1111,31,577,703,491,316,6434
2017-05-16 03:00:00,764,756,550,166,361,0,533,1076,32,566,719,488,310,6321
2017-05-16 04:00:00,774,811,550,152,350,0,545,1099,34,566,701,487,311,6380
2017-05-16 05:00:00,736,706,547,159,340,0,523,1055,30,559,739,487,306,6187
2017-05-16 06:00:00,811,759,555,162,366,0,552,1100,21,566,760,487,306,6445
2017-05-16 06:00:00,811,13,555,162,366,0,552,1100,21,566,760,487,306,5699
2017-05-16 07:00:00,879,755,565,160,396,0,535,1078,20,591,764,490,303,6536
2017-05-16 08:00:00,924,889,559,159,463,0,530,1116,44,621,837,489,298,6929
2017-05-16 09:00:00,941,896,552,161,527,0,573,1153,59,609,868,499,299,7137
2017-05-16 10:00:00,940,874,546,162,483,0,559,1125,58,616,821,477,301,6962
2017-05-16 11:00:00,1018,809,556,171,464,0,556,1110,59,601,816,486,304,6950
2017-05-16 11:00:00,1018,14,556,171,464,0,556,1110,59,601,816,486,304,6155
2017-05-16 12:00:00,965,831,535,115,443,0,542,1084,51,612,812,491,304,6785
2017-05-16 13:00:00,893,879,554,154,454,0,564,1129,61,596,833,491,305,6913
2017-05-16 14:00:00,910,932,570,175,480,0,573,1146,60,626,841,498,308,7119
2017-05-16 15:00:00,883,872,567,172,489,0,555,1114,59,619,833,492,302,6957
2017-05-16 15:00:00,883,15,567,172,489,0,555,1114,59,619,833,492,302,6100
2017-05-16 16:00:00,901,883,582,167,473,0,555,1155,54,647,855,490,309,7071
2017-05-16 17:00:00,828,753,532,144,424,0,516,1072,38,551,726,481,308,6373
2017-05-16 18:00:00,841,887,534,165,420,0,532,1125,43,589,780,483,320,6719
2017-05-16 19:00:00,856,848,542,163,432,0,524,1093,58,565,776,482,318,6657
2017-05-16 20:00:00,806,763,519,163,354,0,540,1108,53,576,767,482,316,6447
2017-05-16 21:00:00,807,812,502,165,358,0,558,1122,50,577,694,481,320,6446
2017-05-16 22:00:00,801,745,473,169,351,0,551,1127,45,581,733,480,317,6373
2017-05-16 23:00:00,795,689,470,154,349,0,531,1091,45,542,705,480,313,6164
2017-05-17 00:00:00,756,663,489,160,329,0,527,1050,35,552,686,477,315,6039
2017-05-17 01:00:00,808,724,575,172,337,0,539,1081,30,552,694,475,315,6302
2017-05-17 02:00:00,785,799,516,174,330,0,526,1078,25,561,695,473,319,6281
2017-05-17 03:00:00,753,768,520,173,343,0,512,1060,31,534,680,471,316,6161
2017-05-17 04:00:00,755,735,531,183,335,0,535,1082,31,535,691,470,323,6206
2017-05-17 04:00:00,755,12,531,183,335,0,535,1082,31,535,691,470,323,5483
