"PMMID","MeterName","kWh","DateTime"
29,"MDB2-1",2249249,2017-05-20 23:59:00
34,"MDB6-2",2439790,2017-05-20 23:59:00
33,"MDB2-3",7180230,2017-05-20 23:59:00
35,"MDB6-1",1880967,2017-05-20 23:59:00
37,"MDB5-1",123244,2017-05-20 23:59:00
36,"MDB4-1",2147652,2017-05-20 23:59:00
28,"MDB1-1",2443030,2017-05-20 23:59:00
25,"MDB7-1",1523193,2017-05-20 23:59:00
32,"MDB4-2",81945573,2017-05-20 23:59:00
30,"MDB3-2",876579,2017-05-20 23:59:00
175,"MDB3-1",320742,2017-05-20 23:59:00
29,"MDB2-1",2249239,2017-05-20 23:58:00
26,"MDB7-2",3896429,2017-05-20 23:58:00
33,"MDB2-3",7180228,2017-05-20 23:58:00
35,"MDB6-1",1880963,2017-05-20 23:58:00
34,"MDB6-2",2439787,2017-05-20 23:58:00
31,"MDB2-2",1500097,2017-05-20 23:58:00
37,"MDB5-1",123244,2017-05-20 23:58:00
28,"MDB1-1",2443016,2017-05-20 23:58:00
36,"MDB4-1",2147642,2017-05-20 23:58:00
30,"MDB3-2",876579,2017-05-20 23:58:00
175,"MDB3-1",320735,2017-05-20 23:58:00
25,"MDB7-1",1523185,2017-05-20 23:58:00
32,"MDB4-2",81945553,2017-05-20 23:58:00
26,"MDB7-2",3896424,2017-05-20 23:57:00
29,"MDB2-1",2249227,2017-05-20 23:57:00
26,"MDB7-2",3896423,2017-05-20 23:57:00
37,"MDB5-1",123243,2017-05-20 23:57:00
34,"MDB6-2",2439784,2017-05-20 23:57:00
31,"MDB2-2",1500089,2017-05-20 23:57:00
35,"MDB6-1",1880959,2017-05-20 23:57:00
25,"MDB7-1",1523178,2017-05-20 23:57:00
28,"MDB1-1",2443004,2017-05-20 23:57:00
30,"MDB3-2",876579,2017-05-20 23:57:00
36,"MDB4-1",2147633,2017-05-20 23:57:00
32,"MDB4-2",81945534,2017-05-20 23:57:00
175,"MDB3-1",320729,2017-05-20 23:57:00
29,"MDB2-1",2249216,2017-05-20 23:56:00
26,"MDB7-2",3896416,2017-05-20 23:56:00
37,"MDB5-1",123243,2017-05-20 23:56:00
31,"MDB2-2",1500080,2017-05-20 23:56:00
35,"MDB6-1",1880955,2017-05-20 23:56:00
33,"MDB2-3",7180224,2017-05-20 23:56:00
34,"MDB6-2",2439780,2017-05-20 23:56:00
25,"MDB7-1",1523171,2017-05-20 23:56:00
175,"MDB3-1",320722,2017-05-20 23:56:00
28,"MDB1-1",2442990,2017-05-20 23:56:00
36,"MDB4-1",2147624,2017-05-20 23:56:00
32,"MDB4-2",81945515,2017-05-20 23:56:00
30,"MDB3-2",876579,2017-05-20 23:56:00
26,"MDB7-2",3896412,2017-05-20 23:55:00
33,"MDB2-3",7180222,2017-05-20 23:55:00
34,"MDB6-2",2439777,2017-05-20 23:55:00
37,"MDB5-1",123242,2017-05-20 23:55:00
31,"MDB2-2",1500072,2017-05-20 23:55:00
32,"MDB4-2",81945496,2017-05-20 23:55:00
30,"MDB3-2",876579,2017-05-20 23:55:00
25,"MDB7-1",1523164,2017-05-20 23:55:00
36,"MDB4-1",2147615,2017-05-20 23:55:00
175,"MDB3-1",320715,2017-05-20 23:55:00
28,"MDB1-1",2442977,2017-05-20 23:55:00
26,"MDB7-2",3896406,2017-05-20 23:54:00
35,"MDB6-1",1880948,2017-05-20 23:54:00
31,"MDB2-2",1500063,2017-05-20 23:54:00
34,"MDB6-2",2439774,2017-05-20 23:54:00
33,"MDB2-3",7180219,2017-05-20 23:54:00
30,"MDB3-2",876579,2017-05-20 23:54:00
36,"MDB4-1",2147606,2017-05-20 23:54:00
175,"MDB3-1",320708,2017-05-20 23:54:00
25,"MDB7-1",1523157,2017-05-20 23:54:00
32,"MDB4-2",81945477,2017-05-20 23:54:00
28,"MDB1-1",2442964,2017-05-20 23:54:00
29,"MDB2-1",2249183,2017-05-20 23:53:00
26,"MDB7-2",3896402,2017-05-20 23:53:00
31,"MDB2-2",1500056,2017-05-20 23:53:00
35,"MDB6-1",1880944,2017-05-20 23:53:00
34,"MDB6-2",2439771,2017-05-20 23:53:00
175,"MDB3-1",320702,2017-05-20 23:53:00
28,"MDB1-1",2442951,2017-05-20 23:53:00
25,"MDB7-1",1523149,2017-05-20 23:53:00
32,"MDB4-2",81945458,2017-05-20 23:53:00
36,"MDB4-1",2147597,2017-05-20 23:53:00
30,"MDB3-2",876579,2017-05-20 23:53:00
29,"MDB2-1",2249173,2017-05-20 23:52:00
26,"MDB7-2",3896397,2017-05-20 23:52:00
31,"MDB2-2",1500047,2017-05-20 23:52:00
35,"MDB6-1",1880940,2017-05-20 23:52:00
33,"MDB2-3",7180215,2017-05-20 23:52:00
36,"MDB4-1",2147588,2017-05-20 23:52:00
28,"MDB1-1",2442937,2017-05-20 23:52:00
30,"MDB3-2",876579,2017-05-20 23:52:00
25,"MDB7-1",1523142,2017-05-20 23:52:00
175,"MDB3-1",320695,2017-05-20 23:52:00
32,"MDB4-2",81945439,2017-05-20 23:52:00
26,"MDB7-2",3896391,2017-05-20 23:51:00
35,"MDB6-1",1880936,2017-05-20 23:51:00
37,"MDB5-1",123240,2017-05-20 23:51:00
33,"MDB2-3",7180213,2017-05-20 23:51:00
31,"MDB2-2",1500038,2017-05-20 23:51:00
32,"MDB4-2",81945420,2017-05-20 23:51:00
25,"MDB7-1",1523135,2017-05-20 23:51:00
175,"MDB3-1",320688,2017-05-20 23:51:00
30,"MDB3-2",876579,2017-05-20 23:51:00
36,"MDB4-1",2147578,2017-05-20 23:51:00
28,"MDB1-1",2442924,2017-05-20 23:51:00
29,"MDB2-1",2249152,2017-05-20 23:50:00
26,"MDB7-2",3896382,2017-05-20 23:50:00
35,"MDB6-1",1880932,2017-05-20 23:50:00
33,"MDB2-3",7180211,2017-05-20 23:50:00
31,"MDB2-2",1500029,2017-05-20 23:50:00
28,"MDB1-1",2442911,2017-05-20 23:50:00
32,"MDB4-2",81945400,2017-05-20 23:50:00
30,"MDB3-2",876579,2017-05-20 23:50:00
25,"MDB7-1",1523128,2017-05-20 23:50:00
175,"MDB3-1",320681,2017-05-20 23:50:00
36,"MDB4-1",2147569,2017-05-20 23:50:00
29,"MDB2-1",2249142,2017-05-20 23:49:00
31,"MDB2-2",1500021,2017-05-20 23:49:00
35,"MDB6-1",1880928,2017-05-20 23:49:00
37,"MDB5-1",123238,2017-05-20 23:49:00
28,"MDB1-1",2442897,2017-05-20 23:49:00
175,"MDB3-1",320675,2017-05-20 23:49:00
30,"MDB3-2",876579,2017-05-20 23:49:00
32,"MDB4-2",81945381,2017-05-20 23:49:00
25,"MDB7-1",1523121,2017-05-20 23:49:00
36,"MDB4-1",2147560,2017-05-20 23:49:00
29,"MDB2-1",2249131,2017-05-20 23:48:00
33,"MDB2-3",7180207,2017-05-20 23:48:00
35,"MDB6-1",1880924,2017-05-20 23:48:00
